2024-03-05 15:20:05,769 INFO    StreamThr :171866 [internal.py:wandb_internal():86] W&B internal server running at pid: 171866, started at: 2024-03-05 15:20:05.768749
2024-03-05 15:20:05,770 DEBUG   HandlerThread:171866 [handler.py:handle_request():146] handle_request: status
2024-03-05 15:20:05,772 INFO    WriterThread:171866 [datastore.py:open_for_write():87] open: /home/sgeisser/git/plr-exercise/wandb/run-20240305_152005-hjcqih7o/run-hjcqih7o.wandb
2024-03-05 15:20:05,772 DEBUG   SenderThread:171866 [sender.py:send():382] send: header
2024-03-05 15:20:05,773 DEBUG   SenderThread:171866 [sender.py:send():382] send: run
2024-03-05 15:20:06,229 INFO    SenderThread:171866 [dir_watcher.py:__init__():211] watching files in: /home/sgeisser/git/plr-exercise/wandb/run-20240305_152005-hjcqih7o/files
2024-03-05 15:20:06,230 INFO    SenderThread:171866 [sender.py:_start_run_threads():1136] run started: hjcqih7o with start time 1709648405.768235
2024-03-05 15:20:06,234 DEBUG   HandlerThread:171866 [handler.py:handle_request():146] handle_request: check_version
2024-03-05 15:20:06,234 DEBUG   SenderThread:171866 [sender.py:send_request():409] send_request: check_version
2024-03-05 15:20:06,392 DEBUG   HandlerThread:171866 [handler.py:handle_request():146] handle_request: run_start
2024-03-05 15:20:06,403 DEBUG   HandlerThread:171866 [system_info.py:__init__():27] System info init
2024-03-05 15:20:06,403 DEBUG   HandlerThread:171866 [system_info.py:__init__():42] System info init done
2024-03-05 15:20:06,403 INFO    HandlerThread:171866 [system_monitor.py:start():194] Starting system monitor
2024-03-05 15:20:06,403 INFO    SystemMonitor:171866 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-05 15:20:06,403 INFO    HandlerThread:171866 [system_monitor.py:probe():214] Collecting system info
2024-03-05 15:20:06,404 INFO    SystemMonitor:171866 [interfaces.py:start():190] Started cpu monitoring
2024-03-05 15:20:06,405 INFO    SystemMonitor:171866 [interfaces.py:start():190] Started disk monitoring
2024-03-05 15:20:06,406 INFO    SystemMonitor:171866 [interfaces.py:start():190] Started gpu monitoring
2024-03-05 15:20:06,406 INFO    SystemMonitor:171866 [interfaces.py:start():190] Started memory monitoring
2024-03-05 15:20:06,408 INFO    SystemMonitor:171866 [interfaces.py:start():190] Started network monitoring
2024-03-05 15:20:06,418 DEBUG   HandlerThread:171866 [system_info.py:probe():151] Probing system
2024-03-05 15:20:06,490 DEBUG   HandlerThread:171866 [system_info.py:_probe_git():136] Probing git
2024-03-05 15:20:06,493 DEBUG   HandlerThread:171866 [system_info.py:_probe_git():144] Probing git done
2024-03-05 15:20:06,493 DEBUG   HandlerThread:171866 [system_info.py:probe():199] Probing system done
